Change Component Footprint: Designator=D18 Old Footprint=LITTELFUSE SMAJ6.0A New Footprint=LITTELFUSE SMCJ24A
Change Component Comment : Designator=D18 Old Comment=SMAJ6.0A New Comment=SMCJ24A
Change component parameters: Designator = "D18" ("D18"); Footprint = "LITTELFUSE SMAJ6.0A"; UniqueID = "\DSCZJAEC" ("\DSCZJAEC")
Change component parameters (AddParameter): Name = "Breakdown Voltage"; Value = "26.7V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Diodes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Clamping Voltage"; Value = "38.9V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "https://datasheet.ciiva.com/341/littelfuse-tvs-diode-smcj-datasheet-pdf-341029.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://datasheet.ciiva.com/341/littelfuse-tvs-diode-smcj-datasheet-pdf-341029.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "https://datasheet.ciiva.com/8062/littelfuse-tvs-diode-smcj-8062373.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://datasheet.ciiva.com/8062/littelfuse-tvs-diode-smcj-8062373.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "https://datasheet.ciiva.com/341/littelfuse-tvs-diode-smcj-datasheet-pdf-341030.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = "https://datasheet.ciiva.com/341/littelfuse-tvs-diode-smcj-datasheet-pdf-341030.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = "https://datasheet.ciiva.com/341/littelfuse-tvs-diode-smcj-datasheet-pdf-341031.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = "https://datasheet.ciiva.com/341/littelfuse-tvs-diode-smcj-datasheet-pdf-341031.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Direction"; Value = "Unidirectional"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Element Configuration"; Value = "Single"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "2.417mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Leakage Current"; Value = "1uA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "7.11mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Littelfuse"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "SMCJ24A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Breakdown Voltage"; Value = "29.5V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "150°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Power Dissipation"; Value = "6.5W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Reverse Leakage Current"; Value = "1uA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Surge Current"; Value = "38.6A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Breakdown Voltage"; Value = "26.7V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-65°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Channels"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Elements"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Pins"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Unidirectional Channels"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Supply Voltage"; Value = "24V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "3000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Peak Pulse Current"; Value = "38.6A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Peak Pulse Power"; Value = "1.5kW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Polarity"; Value = "Unidirectional"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power Dissipation"; Value = "1.5kW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power Line Protection"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "1=0.55000, 10=0.43800, 100=0.31250, 500=0.23750, 1000=0.18750 (USD)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Resistor Type"; Value = "Zener"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reverse Breakdown Voltage"; Value = "26.7V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reverse Standoff Voltage"; Value = "24V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "17092"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "SMCJ24ALFCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Test Current"; Value = "1mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating (DC)"; Value = "24V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "6.22mm"; VariantName = "[No Variations]"
Added Room: Name=TSAL_PL
